category,Customer Start,Customer End,Subscriber Start,Subscriber End,Gender(0) Start,Gender(0) End,Gender(1) Start,Gender(1) End,Gender(2) Start,Gender(2) End,
1,0.06698293609,0.06553999663,0.1879003083,0.179576759,0.04657178584,0.04492839393,0.1494229833,0.1441969016,0.05888847526,0.05599146009,
2,0.05917371547,0.05860739479,0.1922013111,0.1900175786,0.0461902475,0.04704878966,0.1473883555,0.1456871282,0.05779642357,0.05588905551,
3,0.08680039265,0.08480292436,0.164921404,0.163475279,0.08159618507,0.08220805777,0.1296262182,0.1264431643,0.04049939339,0.03962698135,
4,0.06090976229,0.06184674551,0.1865772498,0.1906662424,0.0479021366,0.04735143947,0.1509314496,0.1547506805,0.04865342581,0.05041086794,
5,0.06979774429,0.07144453813,0.1789728194,0.1797848982,0.06418251682,0.06537799861,0.1357359923,0.1357756059,0.04885205453,0.05007583174,
